Section	Item Type	Date	Title	Author	Link	Tags	Teaser
Quotes	Quotation	2007-02-28 05:26:45	Art, Science and Empire	William Blake	quotes/art-science-and-empire.html	art, science	The foundation of empire is art and science. Remove them or degrade them, and the empire is no more. Empire follows art and not vice versa as Englishmen suppose.
Quotes	Quotation	2014-04-09 18:54:37	Symbolic Language	David Christian	quotes/symbolic-language.html	critical thinking, humanism, written word	At the moment, the most powerful marker, the feature that distinguishes our species most decisively from closely related species, appears to be symbolic language. Many animals can communicate with each other and share information in rudimentary ways. But humans are the only creatures who can communicate using symbolic language: a system of arbitrary symbols that can be linked by formal grammars to create a nearly limitless variety of precise utterances. Symbolic language greatly enhanced the precision of human communication and the range of ideas that humans can exchange. Symbolic language allowed people for the first time to talk about entities that were not immediately present (including experiences and events in the past and future) as well as entities whose existence was not certain (such as souls, demons, and dreams). 
Quotes	Quotation	2010-11-21 07:23:15	Six Impossible Things Before Breakfast	Lewis Carroll	quotes/six-impossible-things-before-breakfast.html	critical thinking	I can't believe that! said Alice. "Can't you?" the Queen said in a pitying tone. "Try again: draw a long breath, and shut your eyes." Alice laughed. "There's no use trying," she said "one can't believe impossible things." "I daresay you haven't had much practice," said the Queen. "When I was your age, I always did it for half-an-hour a day. Why, sometimes I've believed as many as six impossible things before breakfast."
Quotes	Quotation	2016-11-07 13:52:48	National parks and reserves	John F. Kennedy	quotes/national-parks-and-reserves.html	property	The supreme reality of our time is ... the vulnerability of our planet. National parks and reserves are an integral aspect of intelligent use of natural resources. It is the course of wisdom to set aside an ample portion of our natural resources as national parks and reserves, thus ensuring that future generations may know the majesty of the earth as we know it today.
Quotes	Quotation	2010-02-27 13:29:06	A Work Ethic Gone Mad	Matthew Stewart	quotes/a-work-ethic-gone-mad.html	balance, humanism	The blend of corporate mysticism and transcendental consumerism he [Tom Peters] offers has its roots planted in the pragmatic, optimistic, can-do American work ethic. But, like the Taylorist philosophy from which it springs, it is also a work ethic gone mad. It begins with the idea that work can be meaningful and stretches it to the point where there is no meaning outside work. It becomes a deluded form of optimism, a feverish activity that masks an underlying anxiety about the meaning of life, a form of self-alienation so complete that the self disappears entirely into its consumer preferences and transactions.
Quotes	Quotation	2010-10-23 11:28:26	The Love of What We are Doing	Wynton Marsalis	quotes/the-love-of-what-we-are-doing.html	love	It's a labor of love for all of us. It's not contrived or fake and it's not about money (it's too much work to be about money). It's about the love of what we are doing. That's the center of what it is about, and that's the center of what anything of great human value is always about. It's about that love that you have for humanity in our commonality. And to experience all of the things that are in this music like heartbreak and joy and many other things -- a certain type of striving and struggle -- it's a part of the life we all live together.
Quotes	Quotation	2007-05-26 21:32:40	The World is a Wonderfully Weird Place	Tom Robbins	quotes/the-world-is-a-wonderfully-weird-place.html	liberty, love, wonder	The world is a wonderfully weird place, consensual reality is significantly flawed, no institution can be trusted, certainty is a mirage, security a delusion, and the tyranny of the dull mind forever threatens -- but our lives are not as limited as we think they are, all things are possible, laughter is holier than piety, freedom is sweeter than fame, and in the end it's love and love alone that really matters.
Quotes	Quotation	2018-10-26 10:42:28	If the future of humanity is decided in your absence...	Yuval Noah Harari	quotes/if-the-future-of-humanity-is-decided-in-your-absence....html	cultural evolution	In a world deluged by irrelevant information, clarity is power. In theory, anybody can join the debate about the future of humanity, but it is so hard to maintain a clear vision. We might not even notice that a debate is going on, or what the key questions are. Most of us can't afford the luxury of investigating, because we have more pressing things to do: we have to go to work, take care of the kids, or look after elderly parents. Unfortunately, history does not give discounts. If the future of humanity is decided in your absence, because you are too busy feeding and clothing your kids, you and they will not be exempt from the consequences. This is unfair: but who said history was fair? 
Quotes	Quotation	2018-04-16 10:59:52	To end up here in a pile of bones	Frank Capra	quotes/to-end-up-here-in-a-pile-of-bones.html	humanism	Not until we showed them some of the stuff we got at Dachau, that George Stevens photographed with his crew, did it actually impinge itself on the mind of the horror, the horror of this whole thing.  Man, the highest of all the animals... the Man who created God... to end up here in a pile of bones, burned... it left me just speechless, colorless, bloodless. I couldn't possibly believe that there was this kind of savagery in the world, you see. 
Quotes	Quotation	2017-05-08 07:22:12	It is foolish to view realism and idealism as incompatible	John McCain	quotes/it-is-foolish-to-view-realism-and-idealism-as-incompatible.html	balance	I consider myself a realist. I have certainly seen my share of the world as it really is and not how I wish it would be. What I've learned is that it is foolish to view realism and idealism as incompatible or to consider our power and wealth as encumbered by the demands of justice, morality and conscience.
